2021-07-02_T20.45.55_UTC		2600:1002:b024:af4c:1c96:5fb1:99e6:99bd	PDF
2021-07-02_T23.31.12_UTC	60e313fdd8989	96.245.211.156	EPUB
2021-07-05_T05.03.18_UTC		139.5.157.4	EPUB
2021-07-05_T14.15.45_UTC	60e313fdd8989	96.245.211.156	DAISY
2021-07-05_T14.28.34_UTC	60e313fdd8989	96.245.211.156	PDF
2021-07-05_T14.33.27_UTC	60e313fdd8989	96.245.211.156	PDF
2021-07-05_T14.38.45_UTC	60e313fdd8989	96.245.211.156	PDF
2021-07-05_T14.47.11_UTC	60e313fdd8989	96.245.211.156	PDF
2021-07-05_T14.54.50_UTC	60e313fdd8989	96.245.211.156	PDF
2021-07-05_T15.06.53_UTC	60e313fdd8989	96.245.211.156	PDF
2021-07-05_T15.10.40_UTC	60e313fdd8989	96.245.211.156	PDF
2021-07-05_T15.16.05_UTC	60e313fdd8989	96.245.211.156	PDF
2021-07-05_T15.24.35_UTC	60e313fdd8989	96.245.211.156	PDF
2021-07-05_T15.25.06_UTC	60e313fdd8989	96.245.211.156	PDF
2021-07-05_T15.25.07_UTC	60e3245351869	96.245.211.156	PDF
2021-07-05_T15.32.57_UTC	60e313fdd8989	96.245.211.156	PDF
2021-07-05_T17.04.28_UTC	60e3245351869	96.245.211.156	PDF
2021-07-05_T17.06.13_UTC	60e3245351869	96.245.211.156	PDF
2021-07-05_T17.10.07_UTC	60e3245351869	96.245.211.156	PDF
2021-07-05_T17.13.41_UTC	60e3245351869	96.245.211.156	EPUB
2021-07-05_T17.17.14_UTC	60e3245351869	96.245.211.156	DAISY
2021-07-05_T17.17.14_UTC	60e3245351869	96.245.211.156	DAISY
2021-07-05_T17.21.44_UTC	60e3245351869	96.245.211.156	PDF
2021-07-05_T17.42.36_UTC	60e313fdd8989	96.245.211.156	PDF
2021-07-05_T17.49.55_UTC	60e313fdd8989	96.245.211.156	PDF
2021-07-05_T17.49.56_UTC	60e313fdd8989	96.245.211.156	PDF
2021-07-05_T17.49.57_UTC	60e313fdd8989	96.245.211.156	PDF
2021-07-05_T17.49.59_UTC	60e313fdd8989	96.245.211.156	PDF
2021-07-05_T17.50.00_UTC	60e313fdd8989	96.245.211.156	PDF
2021-07-05_T17.50.01_UTC	60e313fdd8989	96.245.211.156	PDF
2021-07-05_T17.50.02_UTC	60e313fdd8989	96.245.211.156	PDF
2021-07-05_T17.50.28_UTC	60e313fdd8989	96.245.211.156	PDF
2021-07-05_T17.51.15_UTC	60e313fdd8989	96.245.211.156	PDF
2021-07-05_T17.56.21_UTC	60e313fdd8989	96.245.211.156	PDF
2021-07-05_T17.56.22_UTC	60e313fdd8989	96.245.211.156	PDF
2021-07-05_T17.57.32_UTC	60e313fdd8989	96.245.211.156	PDF
2021-07-05_T18.04.28_UTC	60e313fdd8989	96.245.211.156	PDF
2021-07-05_T18.06.07_UTC	60e313fdd8989	96.245.211.156	PDF
2021-07-05_T18.44.40_UTC	60e313fdd8989	96.245.211.156	yes	PDF
2021-07-05_T18.44.50_UTC	60e313fdd8989	96.245.211.156	yes	PDF
2021-07-05_T18.45.48_UTC	60e313fdd8989	96.245.211.156	yes	PDF
2021-07-05_T18.46.16_UTC	60e313fdd8989	96.245.211.156	yes	PDF
2021-07-05_T18.47.08_UTC	60e313fdd8989	96.245.211.156	yes	PDF
2021-07-05_T18.49.18_UTC	60e313fdd8989	96.245.211.156	yes	PDF
2021-07-05_T18.49.36_UTC	60e313fdd8989	96.245.211.156	yes	PDF
2021-07-05_T18.55.12_UTC	60e313fdd8989	96.245.211.156	yes	PDF
2021-07-05_T18.55.21_UTC	60e313fdd8989	96.245.211.156	yes	EPUB
2021-07-05_T18.59.24_UTC	60e34d956116a	96.245.211.156		PDF
2021-07-05_T19.01.20_UTC	60e34d956116a	96.245.211.156	yes	PDF
2021-07-05_T19.02.00_UTC	60e313fdd8989	96.245.211.156	yes	PDF
2021-07-05_T19.02.08_UTC	60e313fdd8989	96.245.211.156	yes	EPUB
2021-07-05_T19.02.30_UTC	60e313fdd8989	96.245.211.156	yes	PDF
2021-07-05_T19.05.18_UTC	60e313fdd8989	96.245.211.156	yes	PDF
2021-07-05_T19.05.35_UTC	60e313fdd8989	96.245.211.156	yes	PDF
2021-07-05_T19.05.46_UTC	60e313fdd8989	96.245.211.156	yes	DAISY
2021-07-05_T19.05.54_UTC	60e313fdd8989	96.245.211.156	yes	EPUB
2021-07-05_T19.06.07_UTC	60e313fdd8989	96.245.211.156	yes	EPUB
2021-07-05_T19.06.36_UTC	60e313fdd8989	96.245.211.156	yes	DAISY
2021-07-05_T19.09.29_UTC	60e313fdd8989	96.245.211.156	yes	PDF
2021-07-05_T19.09.45_UTC	60e313fdd8989	96.245.211.156	yes	PDF
2021-07-05_T19.15.00_UTC	60e313fdd8989	96.245.211.156	yes	PDF
2021-07-05_T19.17.06_UTC	60e313fdd8989	96.245.211.156	yes	PDF
2021-07-05_T19.17.06_UTC	60e313fdd8989	96.245.211.156	yes	PDF
2021-07-05_T19.19.11_UTC	60e34d956116a	96.245.211.156	yes	PDF
2021-07-05_T19.19.19_UTC	60e34d956116a	96.245.211.156	yes	DAISY
2021-07-05_T19.22.02_UTC	60e34d956116a	96.245.211.156	yes	PDF
2021-07-05_T19.26.49_UTC	60e313fdd8989	96.245.211.156	yes	PDF
2021-07-05_T19.33.58_UTC	60e313fdd8989	96.245.211.156	yes	PDF
2021-07-05_T19.34.13_UTC	60e34d956116a	96.245.211.156	yes	DAISY
2021-07-05_T19.34.21_UTC	60e34d956116a	96.245.211.156	yes	EPUB
2021-07-05_T19.34.50_UTC	60e313fdd8989	96.245.211.156	yes	EPUB
2021-07-05_T19.34.58_UTC	60e313fdd8989	96.245.211.156	yes	DAISY
2021-07-05_T19.35.56_UTC	60e313fdd8989	96.245.211.156	yes	EPUB
2021-07-05_T19.36.12_UTC	60e313fdd8989	96.245.211.156	yes	PDF
2021-07-05_T19.36.56_UTC	60e313fdd8989	96.245.211.156	yes	EPUB
2021-07-05_T19.37.06_UTC	60e313fdd8989	96.245.211.156	yes	EPUB
2021-07-05_T19.37.17_UTC	60e313fdd8989	96.245.211.156	yes	DAISY
2021-07-05_T19.41.26_UTC	60e313fdd8989	96.245.211.156		PDF
2021-07-05_T19.41.55_UTC	60e313fdd8989	96.245.211.156		PDF
2021-07-05_T19.42.09_UTC	60e313fdd8989	96.245.211.156	yes	PDF
2021-07-05_T19.48.14_UTC	60e313fdd8989	96.245.211.156	yes	PDF
2021-07-05_T19.48.32_UTC	60e313fdd8989	96.245.211.156	yes	PDF
2021-07-05_T19.48.40_UTC	60e313fdd8989	96.245.211.156	yes	PDF
2021-07-06_T16.07.21_UTC		108.52.88.29		PDF
2021-07-09_T16.37.54_UTC	60e313fdd8989	66.239.135.2		PDF
2021-07-09_T16.39.46_UTC	60e313fdd8989	66.239.135.2	yes	DAISY
2021-07-12_T00.16.14_UTC		72.78.66.244		PDF
2021-07-12_T00.25.27_UTC	60eb89ce7b5a6	72.78.66.244	yes	PDF
2021-07-15_T18.46.45_UTC		66.239.135.2		PDF
2021-07-16_T08.16.43_UTC		37.144.245.218		PDF
2021-07-16_T18.34.50_UTC		8.37.99.31		EPUB
2021-07-16_T19.53.06_UTC	60f1d14a5e6cf	8.37.99.31		EPUB
2021-07-17_T10.29.41_UTC		139.194.149.12		DAISY
2021-07-17_T15.43.40_UTC		212.124.155.25		PDF
2021-07-19_T04.58.43_UTC		102.32.134.93		PDF
2021-07-19_T16.52.22_UTC		66.239.135.2		PDF
2021-07-20_T13.01.57_UTC		87.130.97.154		PDF
2021-07-20_T14.56.04_UTC		81.38.163.27		DAISY
2021-07-22_T09.58.46_UTC		2601:40:c003:8f30:2578:8eea:365b:557b		PDF
2021-07-23_T08.10.44_UTC		77.3.37.47		PDF
2021-07-23_T13.50.24_UTC		196.75.47.162		PDF
2021-07-23_T13.50.42_UTC	60fac92045e91	196.75.47.162	yes	PDF
2021-07-23_T13.50.53_UTC	60fac92045e91	196.75.47.162	yes	PDF
2021-07-23_T13.51.41_UTC	60fac92045e91	196.75.47.162	yes	PDF
2021-07-23_T13.51.48_UTC	60fac92045e91	196.75.47.162	yes	EPUB
2021-07-23_T13.51.56_UTC	60fac92045e91	196.75.47.162	yes	DAISY
2021-07-23_T13.52.02_UTC	60fac92045e91	196.75.47.162	yes	PDF
2021-07-24_T11.10.13_UTC		217.238.241.27		DAISY
2021-07-27_T01.21.22_UTC		168.91.128.138		PDF
2021-08-02_T16.55.26_UTC		2603:8080:9001:ccb9:7ddd:72db:6703:a491		PDF
2021-08-09_T18.42.34_UTC		165.106.117.175		PDF
2021-08-10_T07.02.05_UTC		37.111.129.145		PDF
2021-08-11_T16.41.27_UTC		2600:100d:b104:681f:cc25:6ce4:3dd7:ecfe		PDF
2021-08-17_T00.28.34_UTC	6113fdb7cfa98	2600:100d:b149:800f:f0eb:f75:91e6:e68b		PDF
2021-08-18_T12.16.40_UTC		2003:cd:3f23:f300:3063:f6a6:bf3c:5840		PDF
2021-08-18_T12.17.12_UTC	611cfa2896350	2003:cd:3f23:f300:3063:f6a6:bf3c:5840	yes	EPUB
2021-08-18_T12.17.24_UTC	611cfa2896350	2003:cd:3f23:f300:3063:f6a6:bf3c:5840	yes	DAISY
2021-08-18_T12.17.58_UTC	611cfa2896350	2003:cd:3f23:f300:3063:f6a6:bf3c:5840	yes	DAISY
2021-08-18_T12.18.34_UTC	611cfa2896350	2003:cd:3f23:f300:3063:f6a6:bf3c:5840	yes	DAISY
2021-08-18_T14.13.33_UTC		66.239.135.2	yes	PDF
